CUSTOMER_ID,Company,CARD_REG_DATE,GENDER,Age,RGSTN_TYPE_IND,STATE_CODE,NO_OF_TRIPS,TOWN,CONTACT_PREF,Spent amount
1000032547,MED +,12-09-2006,Female,36,Online,QLD,4,Kyabram,Email,69.37
1000032548,DR.REDDYS,12-09-2006,Female,47,Online,WA,17,Hawthorn East,Email,498.5
1000032549,RELEGARE,12-09-2006,Female,62,Online,NSW,1,Revesby,Email,1.56
1000032550,GSK,12-09-2006,Male,43,Online,VIC,2,Willow Grove,Email,160.98
1000032551,GSK,12-09-2006,Male,42,Online,VIC,12,mona vale,Email,289.1
1000032552,APPOLO,09-07-2007,Female,34,Online,NSW,6,Rowville,Email,690.45
1000032553,CIPLA,12-09-2006,Female,34,Online,VIC,6,MINNAMURRA,Phone,160.89
1000032554,APPOLO,12-09-2006,Male,34,Online,QLD,8,Lake Illawarra,Email,253.23
1000032555,APPOLO,12-09-2006,Male,63,Online,NSW,1,Vermont South,Email,69.77
1000032556,MED +,12-09-2006,Female,69,Online,ACT,2,Blackburn Nth,Email,232.31
1000032557,GSK,12-09-2006,Female,36,Online,QLD,1,Rowville,Email,274.66
1000032558,MED +,12-09-2006,Male,65,Online,VIC,1,Box Hill North,Email,42.83
1000032559,GENO,12-09-2006,Female,42,Online,VIC,1,FOREST HILL,,79.48
1000032560,DR.REDDYS,12-09-2006,Female,36,Online,NSW,1,BERWICK,Email,26.88
1000032561,RELEGARE,12-09-2006,Female,59,Online,QLD,3,Buderim,Email,408.65
1000032562,GUARDIAN,12-09-2006,Female,69,Online,VIC,2,kawungan,Mail,95.71
1000032563,RELEGARE,12-09-2006,Female,56,Online,QLD,2,scarness,Mail,75.59
1000032564,GUARDIAN,12-09-2006,Female,73,Online,NSW,4,Kuluin,Email,83.87
1000032565,GENO,12-09-2006,Female,71,Online,NSW,2,Menai,Email,92.28
1000032566,RANBAXY,12-09-2006,Male,72,Online,NSW,2,Warilla,Email,249.46
1000032567,MED +,12-09-2006,Male,49,Instore/RF,NSW,6,BARRACK HEIGHTS,Phone,251.45
1000032568,RELEGARE,12-09-2006,Female,32,Online,VIC,1,PRIMBEE,Phone,32.49
1000032569,GUARDIAN,12-09-2006,Female,70,Phone,NSW,1,Flinders,Email,79.36
1000032570,DR.REDDYS,12-09-2006,Female,60,Online,NSW,6,PelicanWaters,Mail,567.38
1000032571,GENO,12-09-2006,Female,68,Phone,VIC,16,Bokarina,,1384.32
1000032572,GSK,12-09-2006,Female,50,Instore/RF,NSW,18,warilla,,666.1
1000032573,GENO,12-09-2006,Female,43,Online,NSW,1,como,Email,2.66
1000032574,GSK,12-09-2006,Female,33,Online,NSW,7,Buderim,,739.84
1000032575,MED +,12-09-2006,Male,66,Online,NSW,1,SHELLCOVE,Phone,34.31
1000032576,CIPLA,12-09-2006,Female,54,Online,QLD,1,Caloundra,Email,167.28
1000032577,RELEGARE,12-09-2006,Female,64,Online,VIC,1,Warilla,Email,30.68
1000032578,GENO,12-09-2006,Male,52,Online,QLD,5,BARRACK HEIGHTS,,183.65
1000032579,MED +,12-09-2006,Female,53,Online,WA,10,Sydenham,,228.21
1000032580,RELEGARE,12-09-2006,Female,72,Online,SA,7,TAYLORS LAKES,Email,325.44
1000032581,GUARDIAN,12-09-2006,Female,64,Online,QLD,3,Seabrook,Email,170
1000032582,GUARDIAN,12-09-2006,Female,36,Online,WA,15,Sunbury,Email,373.72
1000032583,GENO,12-09-2006,Female,34,Online,NSW,4,Yarrawonga,Phone,269.79
1000032584,APPOLO,12-09-2006,Female,45,Online,QLD,1,NUMURKAH,,99.96
1000032585,GSK,12-09-2006,Female,59,Online,NT,3,cobram,Email,153.75
1000032586,GSK,12-09-2006,Male,35,Online,NSW,1,Boat Harbour,,57.46
1000032587,GENO,12-09-2006,Female,64,Online,QLD,1,BULLEEN,Email,10.13
1000032588,APPOLO,12-09-2006,Female,33,Online,NSW,4,Drouin,Email,124.23
1000032589,GSK,12-09-2006,Male,35,Online,SA,3,darnum,Email,89.72
1000032590,GSK,12-09-2006,Male,30,Online,NSW,1,Darnum,Email,8.49
1000032591,GUARDIAN,12-09-2006,Female,38,Online,VIC,6,Catani,Email,213.41
1000032592,CIPLA,12-09-2006,Female,51,Instore/RF,QLD,1,pakenham,Email,120.32
1000032593,RANBAXY,12-09-2006,Female,68,Online,NSW,6,Upper Beconsfield,Email,78.57
1000032594,RANBAXY,12-09-2006,Female,48,Online,SA,3,Torquay,Email,448.27
1000032595,CIPLA,12-09-2006,Female,35,Online,NSW,1,Pakenham,Email,49.04
1000032596,GUARDIAN,12-09-2006,Female,45,Online,VIC,5,Modella,Email,321.25
1000032597,RELEGARE,12-09-2006,Female,51,Online,QLD,1,Neerim Junction,,45.33
1000032598,MED +,12-09-2006,Female,65,Online,NSW,5,Cohuna,Email,213.55
1000032599,GUARDIAN,12-09-2006,Female,44,Online,NSW,1,Pakenham,,52.62
1000032600,GUARDIAN,12-09-2006,Male,60,Online,NSW,3,Bell Park,Email,206.86
1000032601,RANBAXY,12-09-2006,Female,46,Online,SA,3,Ballarat,Email,199.36
1000032602,RELEGARE,12-09-2006,Male,50,Online,NSW,1,Ballarat,Email,43.96
1000032603,DR.REDDYS,12-09-2006,Male,61,Online,VIC,3,Mt.Egerton,Email,145.42
1000032604,DR.REDDYS,12-09-2006,Male,59,Online,VIC,3,berwick,Email,398.63
1000032605,GENO,12-09-2006,Male,73,Online,QLD,2,Pakenham,,243.15
1000032606,RELEGARE,12-09-2006,Male,51,Online,NSW,4,Pakenham,Email,452.76
1000032607,MED +,12-09-2006,Male,73,Online,SA,6,Gembrook,Email,645.77
1000032608,GENO,12-09-2006,Female,40,Online,NSW,7,MT PLEASANT,Email,399.64
1000032609,APPOLO,12-09-2006,Male,89,Instore/RF,WA,2,pakenham,Email,457.29
1000032610,GSK,12-09-2006,Male,81,Online,NSW,10,Delacombe,Email,755.93
1000032611,GUARDIAN,12-09-2006,Male,60,Online,NSW,1,ballarat,Email,31.2
1000032612,RELEGARE,25-10-2006,Male,32,Online,QLD,11,Buninyong,Email,123.36
1000032613,GENO,07-11-2006,Female,31,Online,NSW,1,Mulgrave,,351.89
1000032614,DR.REDDYS,07-11-2006,Female,48,Online,NSW,1,Mt Helen,Email,49.9
1000032615,GSK,14-12-2006,Female,53,Online,SA,3,Greensborough,Email,198.36
1000032616,RELEGARE,27-12-2006,Male,33,Online,VIC,1,Eltham North,Email,28.09
1000032617,RANBAXY,02-03-2007,Male,38,Phone,NSW,9,Hurstbridge,Email,852.98
1000032618,CIPLA,02-03-2007,Female,47,Online,NSW,6,Diamond Creek,Email,228.55
1000032619,RELEGARE,05-04-2007,Female,33,Online,NSW,1,PLENTY,Email,26.35
1000032620,GUARDIAN,18-04-2007,Female,37,Online,NSW,4,St Albans Park,Email,269.97
1000032621,GENO,01-05-2007,Male,29,Online,NSW,15,Briar Hill,Email,271.67
1000032622,CIPLA,09-05-2007,Female,34,Online,NSW,10,St Albans Park,Email,327.96
1000032623,RELEGARE,18-05-2007,Female,35,Online,NSW,4,Greensborough,Email,531.59
1000032624,CIPLA,27-06-2007,Male,44,Online,NSW,2,Queenscliff,Email,130.64
1000032625,RELEGARE,09-07-2007,Female,33,Online,VIC,1,Elsternwick,,20.42
1000032626,APPOLO,19-07-2007,Male,28,Phone,VIC,3,OAKLEIGH,Phone,204.94
1000032627,RELEGARE,10-09-2007,Male,89,Phone,ACT,3,WARRNAMBOOL,Phone,151.84
1000032628,CIPLA,10-09-2007,Female,47,Phone,NSW,1,PORT FAIRY,Phone,67.69
1000032629,APPOLO,10-09-2007,Male,57,Online,VIC,15,clayton south,Email,927.52
1000032630,GUARDIAN,10-09-2007,Female,32,Online,QLD,1,chester hill,Email,314.61
1000032631,CIPLA,10-09-2007,Male,69,Phone,QLD,2,Heatherton,,69.57
1000032632,GSK,10-09-2007,Female,89,Phone,WA,2,Aspendale Gardens,Email,186.95
1000032633,RELEGARE,10-09-2007,Male,54,Online,NT,3,Hamilton,Email,192.16
1000032634,MED +,21-09-2007,Female,33,Online,SA,1,WARRNAMBOOL,Phone,185.19
1000032635,GUARDIAN,10-10-2007,Male,31,Instore/RF,SA,6,Warrnambool,Email,595.65
1000032636,GSK,16-10-2007,Female,57,Instore/RF,NT,7,KOROIT,Phone,268.87
1000032637,RELEGARE,26-10-2007,Female,53,Online,NT,5,Woolsthorpe,Email,1213.35
1000032638,GSK,01-11-2007,Male,32,Online,SA,3,Blackburn,Email,336.95
1000032639,RELEGARE,15-11-2007,Male,51,Online,NT,2,WARRNAMBOOL,Phone,95.6
1000032640,GUARDIAN,21-11-2007,Male,28,Online,SA,25,Laang,Email,1139.69
1000032641,GUARDIAN,22-01-2008,Female,37,Online,SA,5,Clayton,Email,281.34
1000032642,CIPLA,31-01-2008,Male,60,Instore/RF,VIC,6,Clayton South,Email,248.87
1000032643,GENO,31-01-2008,Female,45,Online,SA,7,Greensborough,Email,357.79
1000032644,GSK,31-01-2008,Male,82,Phone,SA,2,Camden,Email,166.37
1000032645,GENO,31-01-2008,Female,41,Online,SA,6,Thornbury,Email,297.23
1000032646,DR.REDDYS,31-01-2008,Female,44,Online,SA,1,reservoir,Email,7.45
1000032647,DR.REDDYS,31-01-2008,Female,38,Online,SA,7,Clarinda,,287.7
1000032648,GUARDIAN,31-01-2008,Female,52,Online,SA,11,South Yarra,Email,423.1
1000032649,RANBAXY,31-01-2008,Female,69,Online,SA,14,Clarinda,Email,1197.31
1000032650,RELEGARE,31-01-2008,Male,67,Online,SA,7,chelsea,Email,315.66
1000032651,CIPLA,31-01-2008,Male,49,Online,NSW,14,Glen Waverley,Email,607.76
1000032652,RANBAXY,31-01-2008,Female,84,Online,VIC,4,ENDEAVOUR HILLS,,311.02
