Season Number,Startup Name,Season Start,Season End,Episode Number,Episode Title,Anchor,Pitch Number,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name,Ashneer Present,Namita Present,Anupam Present,Vineeta Present,Aman Present,Peyush Present,Ghazal Present,Amit Present,Guest Present
1,BluePineFoods,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,Rannvijay Singh,1,Food,Frozen Momos,https://bluepinefoods.com/,3,2,1,,0,Middle,2016,Delhi,Delhi,95,8,,,50,5,1000,1,1,75,16,,,469,3,,,25,5.33,,,,,,,,25,5.33,,25,5.33,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,BoozScooters,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,Rannvijay Singh,2,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,1,1,,,0,Young,2017,Ahmedabad,Gujarat,4,0.4,,,40,15,267,1,1,40,50,,,80,2,,,20,25,,,,,,,,20,25,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,HeartUpMySleeves,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,Rannvijay Singh,3,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,1,,1,,0,Young,2021,Delhi,Delhi,,2,,,25,10,250,1,1,25,30,,,83,2,,,,,,,,,12.5,15,,12.5,15,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,TagzFoods,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,4,Food,Healthy Potato Chips Snacks,https://tagzfoods.com/,2,2,,,0,Middle,2019,Bangalore,Karnataka,700,,48,,70,1,7000,1,1,70,2.75,,,2545,1,,,70,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,HeadAndHeart,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,5,Education,Brain Development Course,https://thehnh.in/,4,1,3,,1,Middle,2015,Patiala,Punjab,30,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Agritourism,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,6,Agriculture,Tourism,https://www.agritourism.in/,2,1,1,,1,Middle,2005,Baramati,Maharashtra,79,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,qZenseLabs,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,7,Food,Food Freshness Detector,https://www.qzense.com/,2,,2,,0,Middle,2020,"Delhi,Mohali","Delhi,Punjab",25,,,,100,0.25,40000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Peeschute,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,8,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,1,1,,,0,Young,2019,Jalna,Maharashtra,100,,,,75,4,1875,1,1,75,6,,,1250,1,,,,,,,,,,,,,,,75,6,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,NOCD,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,9,Food,Energy Drink,https://www.jouleshealth.com/,2,2,,,0,Middle,2019,Bangalore,Karnataka,,20,,,50,2,2500,1,1,20,15,30,,133,1,,,,,,,,,,,,20,15,30,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,CosIQ,20-Dec-21,04-Feb-22,4,Entrepreneurship Ki Wave,Rannvijay Singh,10,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2,1,1,,1,Middle,2021,Delhi,Delhi,,4,75,,50,7.5,667,1,1,50,25,,,200,2,,,,,,,,,25,12.5,,25,12.5,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
